Kit ID,Borough,Zipcode,Date Collected,Date Recieved,Lead First Draw (mg/L),Lead 1-2 Minute Flush (mg/L),Lead 5 Minute Flush (mg/L),Copper First Draw (mg/L),Copper 1-2 Minute Flush (mg/L),Copper 5 minute Flush (mg/L)
15123522,Brooklyn,11230,02/04/2016,02/05/2016 12:00:00 AM,0.017,,,0.099,,
15123397,Queens,11358,02/08/2016,02/09/2016 12:00:00 AM,0.015,,,0.175,,
15123418,Staten Island,10310,04/26/2016,05/03/2016 12:00:00 AM,0.000,,,0.158,,
15123413,New York,10075,05/02/2016,05/10/2016 12:00:00 AM,0.002,,,0.051,,
16129444,Queens,11385,09/27/2016,10/04/2016 12:00:00 AM,0.005,,,0.079,,
16129428,Queens,11412,09/28/2016,10/03/2016 12:00:00 AM,0.004,,,0.134,,
16129620,Bronx,10461,09/28/2016,10/04/2016 12:00:00 AM,0.002,,,0.017,,
16129674,Queens,11374,09/30/2016,10/04/2016 12:00:00 AM,0.004,,,0.024,,
15224631,New York,10023,01/01/2016,01/12/2016 11:06:20 AM,0.000,0.000,,0.240,0.071, 
15224404,Queens,11435,01/01/2016,01/05/2016 10:57:23 AM,0.000,0.000,,0.270,0.028, 
15224078,New York,10033,01/01/2016,01/12/2016 11:06:20 AM,0.005,0.000,,0.283,0.087, 
15224674,New York,10025,01/01/2016,01/06/2016 10:59:25 AM,0.002,0.000,,0.121,0.035, 
15224530,New York,10028,01/02/2016,01/06/2016 10:59:25 AM,0.000,0.000,,0.061,0.023, 
15222834,Queens,11102,01/03/2016,01/08/2016 11:17:01 AM,0.001,0.001,,0.059,0.011, 
15224363,Brooklyn,11215,01/03/2016,01/12/2016 11:06:20 AM,0.000,0.000,,0.188,0.039, 
15224732,Brooklyn,11201,01/03/2016,01/06/2016 10:59:25 AM,0.000,0.000,,0.075,0.024, 
15224174,Brooklyn,11226,01/04/2016,01/11/2016 10:56:39 AM,0.000,0.000,,0.132,0.016, 
15224486,Brooklyn,11233,01/04/2016,01/07/2016 10:45:32 AM,0.000,0.000,,0.193,0.095, 
15224724,Queens,11385,01/04/2016,01/11/2016 10:56:39 AM,0.006,0.002,,0.077,0.014, 
15224692,Brooklyn,11231,01/04/2016,01/13/2016 10:22:02 AM,0.000,0.000,,0.271,0.103, 
15224528,Queens,11104,01/04/2016,01/11/2016 10:56:39 AM,0.000,0.000,,0.320,0.028, 
15224715,Queens,11101,01/05/2016,01/12/2016 11:06:20 AM,0.000,0.000,,0.223,0.198, 
15224736,New York,10019,01/05/2016,01/11/2016 10:56:39 AM,0.000,0.000,,0.037,0.006, 
15224544,Brooklyn,11206,01/06/2016,01/12/2016 11:06:20 AM,0.001,0.000,,0.161,0.040, 
15224735,New York,10019,01/06/2016,01/12/2016 11:06:20 AM,0.000,0.000,,0.053,0.008, 
15224714,Queens,11105,01/06/2016,01/11/2016 10:56:39 AM,0.004,0.000,,0.126,0.029, 
15224745,Brooklyn,11213,01/07/2016,01/12/2016 11:06:20 AM,0.002,0.000,,0.075,0.058, 
12218264,Brooklyn,11215,01/07/2016,01/19/2016 11:46:57 AM,0.002,0.000,,0.158,0.020, 
15224746,Brooklyn,11225,01/07/2016,01/08/2016 11:17:01 AM,0.000,0.001,,0.286,0.248, 
15224304,New York,10021,01/08/2016,01/20/2016 12:05:26 PM,0.000,0.000,,0.170,0.109, 
15224225,New York,10033,01/08/2016,01/14/2016 10:58:26 AM,0.000,0.000,,0.170,0.065, 
15222817,Queens,11694,01/09/2016,01/20/2016 12:05:26 PM,0.000,0.000,,0.109,0.016, 
16224775,New York,10023,01/11/2016,01/19/2016 11:46:57 AM,0.000,0.000,,0.044,0.020, 
15224600,Brooklyn,11206,01/11/2016,01/19/2016 11:46:57 AM,0.003,0.014,,0.172,0.014, 
16300381,New York,10033,01/12/2016,01/19/2016 11:46:57 AM,0.082,0.009,0.008,0.157,0.017,0.015
16224753,Brooklyn,11217,01/12/2016,01/19/2016 11:46:57 AM,0.000,0.000,,0.166,0.041, 
16224799,Brooklyn,11219,01/12/2016,01/14/2016 10:58:26 AM,0.000,0.000,,0.082,0.015, 
15224554,Brooklyn,11206,01/12/2016,01/19/2016 11:46:57 AM,0.000,0.000,,0.281,0.041, 
16224791,Queens,11372,01/12/2016,01/19/2016 11:46:57 AM,0.000,0.000,,0.068,0.010, 
15224591,New York,10017,01/12/2016,01/20/2016 12:05:26 PM,0.003,0.000,,0.094,0.022, 
16224761,Brooklyn,11217,01/13/2016,01/22/2016 10:45:06 AM,0.002,0.000,,0.042,0.009, 
16224771,New York,10023,01/13/2016,01/22/2016 10:45:06 AM,0.000,0.000,,0.173,0.033, 
16224767,Queens,11426,01/13/2016,01/19/2016 11:46:57 AM,0.004,0.012,,0.185,0.017, 
16224780,New York,10007,01/13/2016,01/20/2016 12:05:26 PM,0.000,0.000,,0.107,0.065, 
16224755,Brooklyn,11221,01/13/2016,01/19/2016 11:46:57 AM,0.000,0.000,,0.295,0.103, 
16224773,New York,10075,01/13/2016,01/20/2016 12:05:26 PM,0.018,0.015,,0.082,0.004, 
